Date,State,Num_of_Arrivals
1993-12-01,Total,344040
1993-12-01,VIC,51670
1993-12-01,WA,38530
1994-01-01,ACT,1460
1994-01-01,NSW,114520
1994-01-01,NT,1640
1994-01-01,QLD,65050
1994-01-01,SA,5770
1994-01-01,TAS,2190
1994-01-01,Total,250530
1994-01-01,VIC,38270
1994-01-01,WA,21620
1994-02-01,ACT,2320
1994-02-01,NSW,134630
1994-02-01,NT,2270
1994-02-01,QLD,82990
1994-02-01,SA,7360
1994-02-01,TAS,2340
1994-02-01,Total,304280
1994-02-01,VIC,43170
1994-02-01,WA,29210
1994-03-01,ACT,1780
1994-03-01,NSW,138580
1994-03-01,NT,2510
1994-03-01,QLD,78410
1994-03-01,SA,6840
1994-03-01,TAS,1250
1994-03-01,Total,307400
1994-03-01,VIC,45380
1994-03-01,WA,32650
1994-04-01,ACT,2490
1994-04-01,NSW,118480
1994-04-01,NT,2740
1994-04-01,QLD,68170
1994-04-01,SA,5870
1994-04-01,TAS,1150
1994-04-01,Total,255130
1994-04-01,VIC,32280
1994-04-01,WA,23950
1994-05-01,ACT,1440
1994-05-01,NSW,91620
1994-05-01,NT,2470
1994-05-01,QLD,69520
1994-05-01,SA,3460
1994-05-01,TAS,1090
1994-05-01,Total,214940
1994-05-01,VIC,25320
1994-05-01,WA,20030
1994-06-01,ACT,1700
1994-06-01,NSW,97760
1994-06-01,NT,3490
1994-06-01,QLD,75650
1994-06-01,SA,3400
1994-06-01,TAS,740
1994-06-01,Total,230940
1994-06-01,VIC,26390
1994-06-01,WA,21800
1994-07-01,ACT,2580
1994-07-01,NSW,126810
1994-07-01,NT,6160
1994-07-01,QLD,80290
1994-07-01,SA,5970
1994-07-01,TAS,870
1994-07-01,Total,282510
1994-07-01,VIC,34140
1994-07-01,WA,25690
1994-08-01,ACT,1870
1994-08-01,NSW,119140
1994-08-01,NT,4630
1994-08-01,QLD,83670
1994-08-01,SA,3760
1994-08-01,TAS,670
1994-08-01,Total,265430
1994-08-01,VIC,27640
1994-08-01,WA,24060
1994-09-01,ACT,2090
1994-09-01,NSW,109200
1994-09-01,NT,3950
1994-09-01,QLD,81480
1994-09-01,SA,4730
1994-09-01,TAS,760
1994-09-01,Total,253970
1994-09-01,VIC,27800
1994-09-01,WA,23950
1994-10-01,ACT,2150
1994-10-01,NSW,127760
1994-10-01,NT,5510
1994-10-01,QLD,88050
1994-10-01,SA,6480
1994-10-01,TAS,1160
1994-10-01,Total,301590
1994-10-01,VIC,40960
1994-10-01,WA,29520
1994-11-01,ACT,2110
1994-11-01,NSW,131050
1994-11-01,NT,3570
1994-11-01,QLD,89540
1994-11-01,SA,8430
1994-11-01,TAS,1970
1994-11-01,Total,311000
1994-11-01,VIC,41440
1994-11-01,WA,32880
1994-12-01,ACT,3020
1994-12-01,NSW,158500
1994-12-01,NT,3310
1994-12-01,QLD,107820
1994-12-01,SA,7840
1994-12-01,TAS,3800
1994-12-01,Total,384010
1994-12-01,VIC,55940
1994-12-01,WA,43800
1995-01-01,ACT,2800
1995-01-01,NSW,133300
1995-01-01,NT,2330
1995-01-01,QLD,87520
1995-01-01,SA,6750
1995-01-01,TAS,2620
1995-01-01,Total,303760
1995-01-01,VIC,41240
1995-01-01,WA,27210
1995-02-01,ACT,3380
1995-02-01,NSW,142740
1995-02-01,NT,2360
1995-02-01,QLD,80650
1995-02-01,SA,6550
1995-02-01,TAS,2260
1995-02-01,Total,319050
1995-02-01,VIC,52460
1995-02-01,WA,28120
1995-03-01,ACT,2160
1995-03-01,NSW,137900
1995-03-01,NT,2720
1995-03-01,QLD,86180
1995-03-01,SA,7640
1995-03-01,TAS,1860
1995-03-01,Total,313540
1995-03-01,VIC,43940
1995-03-01,WA,30270
1995-04-01,ACT,2440
1995-04-01,NSW,125210
1995-04-01,NT,3280
1995-04-01,QLD,84590
1995-04-01,SA,6610
1995-04-01,TAS,1880
1995-04-01,Total,294160
1995-04-01,VIC,41690
1995-04-01,WA,27780
1995-05-01,ACT,1530
1995-05-01,NSW,102460
1995-05-01,NT,4240
1995-05-01,QLD,82140
1995-05-01,SA,3260
1995-05-01,TAS,1010
1995-05-01,Total,244810
1995-05-01,VIC,27730
1995-05-01,WA,21640
1995-06-01,ACT,1720
1995-06-01,NSW,108050
1995-06-01,NT,3700
1995-06-01,QLD,89720
1995-06-01,SA,4010
1995-06-01,TAS,880
1995-06-01,Total,261440
1995-06-01,VIC,27780
1995-06-01,WA,24790
1995-07-01,ACT,2560
1995-07-01,NSW,149380
1995-07-01,NT,5180
1995-07-01,QLD,102340
1995-07-01,SA,5410
1995-07-01,TAS,1080
1995-07-01,Total,329740
1995-07-01,VIC,38500
1995-07-01,WA,24480
1995-08-01,ACT,1990
1995-08-01,NSW,128760
1995-08-01,NT,5090
1995-08-01,QLD,106800
1995-08-01,SA,5000
1995-08-01,TAS,890
1995-08-01,Total,304900
1995-08-01,VIC,30790
1995-08-01,WA,24840
1995-09-01,ACT,2140
1995-09-01,NSW,118590
1995-09-01,NT,4050
1995-09-01,QLD,81090
1995-09-01,SA,5090
1995-09-01,TAS,1150
1995-09-01,Total,268570
1995-09-01,VIC,31010
1995-09-01,WA,24630
1995-10-01,ACT,2090
1995-10-01,NSW,143850
1995-10-01,NT,5440
1995-10-01,QLD,91430
1995-10-01,SA,6640
1995-10-01,TAS,1440
1995-10-01,Total,320660
1995-10-01,VIC,38990
1995-10-01,WA,30330
1995-11-01,ACT,2610
1995-11-01,NSW,145610
1995-11-01,NT,3920
1995-11-01,QLD,97970
1995-11-01,SA,8750
1995-11-01,TAS,2220
1995-11-01,Total,342930
1995-11-01,VIC,47360
1995-11-01,WA,33660
1995-12-01,ACT,3030
1995-12-01,NSW,176570
1995-12-01,NT,2860
1995-12-01,QLD,120020
1995-12-01,SA,8570
1995-12-01,TAS,4590
1995-12-01,Total,422260
1995-12-01,VIC,58720
1995-12-01,WA,46800
1996-01-01,ACT,2200
1996-01-01,NSW,141870
1996-01-01,NT,2850
1996-01-01,QLD,92130
1996-01-01,SA,6440
1996-01-01,TAS,1830
1996-01-01,Total,317210
1996-01-01,VIC,45160
1996-01-01,WA,24250
1996-02-01,ACT,3210
1996-02-01,NSW,171700
1996-02-01,NT,2470
1996-02-01,QLD,108830
1996-02-01,SA,7980
1996-02-01,TAS,2690
1996-02-01,Total,392690
1996-02-01,VIC,55570
1996-02-01,WA,39640
1996-03-01,ACT,2910
1996-03-01,NSW,161280
1996-03-01,NT,2660
1996-03-01,QLD,105400
1996-03-01,SA,7970
1996-03-01,TAS,2120
1996-03-01,Total,365550
1996-03-01,VIC,51670
1996-03-01,WA,31010
1996-04-01,ACT,2660
1996-04-01,NSW,149170
1996-04-01,NT,2440
1996-04-01,QLD,95560
1996-04-01,SA,6630
1996-04-01,TAS,1420
1996-04-01,Total,333200
1996-04-01,VIC,42580
1996-04-01,WA,32270
1996-05-01,ACT,1730
1996-05-01,NSW,108580
1996-05-01,NT,3530
1996-05-01,QLD,84920
1996-05-01,SA,5500
1996-05-01,TAS,880
1996-05-01,Total,261510
1996-05-01,VIC,33260
1996-05-01,WA,22550
1996-06-01,ACT,1910
1996-06-01,NSW,124570
1996-06-01,NT,4540
1996-06-01,QLD,106150
1996-06-01,SA,4520
1996-06-01,TAS,860
1996-06-01,Total,306930
1996-06-01,VIC,37570
1996-06-01,WA,26720
1996-07-01,ACT,2980
1996-07-01,NSW,145140
1996-07-01,NT,6090
1996-07-01,QLD,123080
1996-07-01,SA,6540
1996-07-01,TAS,890
1996-07-01,Total,358230
1996-07-01,VIC,44630
1996-07-01,WA,28780
1996-08-01,ACT,1820
1996-08-01,NSW,138650
1996-08-01,NT,4140
1996-08-01,QLD,114960
1996-08-01,SA,5240
1996-08-01,TAS,890
1996-08-01,Total,329240
1996-08-01,VIC,34250
1996-08-01,WA,28950
1996-09-01,ACT,2810
1996-09-01,NSW,126370
1996-09-01,NT,4360
1996-09-01,QLD,105140
1996-09-01,SA,5480
1996-09-01,TAS,910
1996-09-01,Total,309160
1996-09-01,VIC,36340
1996-09-01,WA,27540
1996-10-01,ACT,2760
1996-10-01,NSW,150010
1996-10-01,NT,5590
1996-10-01,QLD,101760
1996-10-01,SA,8750
1996-10-01,TAS,1390
1996-10-01,Total,350360
1996-10-01,VIC,45360
1996-10-01,WA,34460
1996-11-01,ACT,2360
1996-11-01,NSW,162720
1996-11-01,NT,4430
1996-11-01,QLD,105530
1996-11-01,SA,7950
1996-11-01,TAS,2100
1996-11-01,Total,375570
1996-11-01,VIC,52770
1996-11-01,WA,37270
1996-12-01,ACT,2780
1996-12-01,NSW,195580
1996-12-01,NT,3480
1996-12-01,QLD,136260
1996-12-01,SA,10410
1996-12-01,TAS,2520
1996-12-01,Total,465180
1996-12-01,VIC,63930
1996-12-01,WA,49430
1997-01-01,ACT,2220
1997-01-01,NSW,149990
1997-01-01,NT,2460
1997-01-01,QLD,97650
1997-01-01,SA,7880
1997-01-01,TAS,2820
1997-01-01,Total,342890
1997-01-01,VIC,50180
1997-01-01,WA,29630
1997-02-01,ACT,3620
1997-02-01,NSW,165760
1997-02-01,NT,5050
1997-02-01,QLD,114790
1997-02-01,SA,8750
1997-02-01,TAS,3770
1997-02-01,Total,407960
1997-02-01,VIC,66070
1997-02-01,WA,39350
1997-03-01,ACT,2990
1997-03-01,NSW,166680
1997-03-01,NT,3920
1997-03-01,QLD,113940
1997-03-01,SA,8730
1997-03-01,TAS,2280
1997-03-01,Total,390900
1997-03-01,VIC,55990
1997-03-01,WA,35670
1997-04-01,ACT,2420
1997-04-01,NSW,133760
1997-04-01,NT,2830
1997-04-01,QLD,100650
1997-04-01,SA,6170
1997-04-01,TAS,1600
1997-04-01,Total,325900
1997-04-01,VIC,45230
1997-04-01,WA,33000
1997-05-01,ACT,1680
1997-05-01,NSW,123190
1997-05-01,NT,4390
1997-05-01,QLD,94510
